2020-04-26 00:48:00.222 [info] <0.60.0> SIGTERM received - shutting down
2020-04-26 01:00:52.926 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:00:52.943 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:00:53.021 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:00:53.039 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:00:53.049 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:00:53.081 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 01:00:53.095 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 01:00:53.195 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:00:53.197 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:00:53.277 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:00:53.294 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:00:53.301 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:00:53.320 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:00:53.351 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:00:53.402 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:00:53.455 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:00:53.479 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:00:53.485 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:00:53.507 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 01:00:53.525 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:00:53.531 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:00:53.539 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:03:52.049 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:03:52.079 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:03:52.162 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:03:52.181 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:03:52.191 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:03:52.219 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 01:03:52.234 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 01:03:52.356 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:03:52.356 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:03:52.401 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:03:52.419 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:03:52.431 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:03:52.451 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:03:52.463 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:03:52.511 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:03:52.590 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:03:52.624 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:03:52.631 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:03:52.669 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 01:03:52.698 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:03:52.716 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:03:52.738 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:03:53.483 [info] <0.44.0> Application microservice_2 started on node nonode@nohost
2020-04-26 01:06:51.519 [info] <0.60.0> SIGTERM received - shutting down
2020-04-26 01:07:34.496 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:07:34.567 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:07:34.676 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:07:34.705 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:07:34.735 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:07:34.799 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 01:07:34.827 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 01:07:35.057 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:07:35.058 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:07:35.142 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:07:35.171 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:07:35.195 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:07:35.241 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:07:35.266 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:07:35.367 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:07:35.469 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:07:35.541 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:07:35.562 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:07:35.607 [info] <0.44.0> Application cowlib started on node nonode@nohost
